neck_flexion,trunk_flexion,left_shoulder_elev,right_shoulder_elev,shoulder_symmetry,alignment_deviation,knee_angle,forward_head_posture,head_tilt_angle,wrist_deviation_angle,stance_stability,weight_shift_offset,lower_body_visible,upper_body_visible,body_visibility,frame_name,source_video,frame_idx,task_label,timestamp_sec
80.14,143.29,157.97,160.28,7.16,9.07,167.05,50.33,50.33,50.05,0.7,1.68,True,True,2.0,yt_01_002450.jpg,assembly_worker_E943iVhG9dc.mp4,2450,Assembly Work,98.0
84.92,146.27,153.07,149.82,0.11,7.88,132.29,47.52,47.52,48.59,0.7,0.37,True,True,2.0,yt_01_002500.jpg,assembly_worker_E943iVhG9dc.mp4,2500,Assembly Work,100.0
80.95,147.52,151.05,155.36,4.52,8.91,171.1,49.99,49.99,48.18,0.7,0.75,True,True,2.0,yt_01_002550.jpg,assembly_worker_E943iVhG9dc.mp4,2550,Assembly Work,102.0
94.94,142.25,140.76,135.29,5.95,8.95,158.97,46.83,46.83,45.38,0.7,1.86,True,True,2.0,yt_01_002600.jpg,assembly_worker_E943iVhG9dc.mp4,2600,Assembly Work,104.0
81.8,154.09,169.54,165.96,6.8,10.81,173.33,54.79,54.79,58.82,0.7,0.95,True,True,2.0,yt_01_002650.jpg,assembly_worker_E943iVhG9dc.mp4,2650,Assembly Work,106.0
91.73,128.62,142.06,153.2,4.29,8.74,158.73,41.34,41.34,46.8,0.7,4.42,True,True,2.0,yt_01_002700.jpg,assembly_worker_E943iVhG9dc.mp4,2700,Assembly Work,108.0
81.46,149.86,157.53,160.49,5.01,9.5,158.98,51.62,51.62,57.65,0.7,1.27,True,True,2.0,yt_01_002750.jpg,assembly_worker_E943iVhG9dc.mp4,2750,Assembly Work,110.0
80.0,152.12,163.12,161.14,6.27,9.92,169.09,56.64,56.64,58.25,0.7,0.86,True,True,2.0,yt_01_002800.jpg,assembly_worker_E943iVhG9dc.mp4,2800,Assembly Work,112.0
93.69,149.32,161.77,151.04,17.52,9.37,165.02,51.89,51.89,59.42,0.7,0.93,True,True,2.0,yt_01_002850.jpg,assembly_worker_E943iVhG9dc.mp4,2850,Assembly Work,114.0
70.11,155.47,174.37,167.05,8.53,9.78,171.06,50.26,50.26,55.8,0.7,0.81,True,True,2.0,yt_01_002900.jpg,assembly_worker_E943iVhG9dc.mp4,2900,Assembly Work,116.0
91.3,148.85,158.55,145.76,18.43,9.07,164.57,49.02,49.02,55.42,0.7,0.98,True,True,2.0,yt_01_002950.jpg,assembly_worker_E943iVhG9dc.mp4,2950,Assembly Work,118.0
92.44,141.33,147.97,133.85,21.97,8.58,152.07,50.19,50.19,44.08,0.7,1.6,True,True,2.0,yt_01_003000.jpg,assembly_worker_E943iVhG9dc.mp4,3000,Assembly Work,120.0
76.57,145.74,156.4,165.3,11.93,8.66,170.97,48.75,48.75,54.48,0.7,1.15,True,True,2.0,yt_01_003050.jpg,assembly_worker_E943iVhG9dc.mp4,3050,Assembly Work,122.0
91.58,139.82,151.76,135.21,16.27,8.15,153.33,45.79,45.79,46.07,0.7,1.7,True,True,2.0,yt_01_003100.jpg,assembly_worker_E943iVhG9dc.mp4,3100,Assembly Work,124.0
106.37,137.98,159.28,128.17,16.0,8.9,155.82,45.29,45.29,52.38,0.7,1.38,True,True,2.0,yt_01_003150.jpg,assembly_worker_E943iVhG9dc.mp4,3150,Assembly Work,126.0
54.43,137.21,136.51,151.63,14.97,8.28,161.09,51.13,51.13,37.17,0.7,3.61,True,True,2.0,yt_01_003200.jpg,assembly_worker_E943iVhG9dc.mp4,3200,Assembly Work,128.0
97.74,145.45,131.9,114.99,11.29,9.72,155.27,44.8,44.8,43.65,0.7,0.65,True,True,2.0,yt_01_003250.jpg,assembly_worker_E943iVhG9dc.mp4,3250,Assembly Work,130.0
109.97,146.02,174.37,171.41,9.8,9.68,160.56,31.56,31.56,50.07,0.7,0.04,True,True,2.0,yt_01_003300.jpg,assembly_worker_E943iVhG9dc.mp4,3300,Assembly Work,132.0
85.9,135.54,137.26,110.2,8.87,8.77,146.87,44.92,44.92,40.13,0.7,2.18,True,True,2.0,yt_01_003350.jpg,assembly_worker_E943iVhG9dc.mp4,3350,Assembly Work,134.0
61.3,141.37,135.96,140.27,8.01,8.58,165.34,49.58,49.58,28.82,0.7,2.72,True,True,2.0,yt_01_003400.jpg,assembly_worker_E943iVhG9dc.mp4,3400,Assembly Work,136.0
90.31,145.41,158.52,158.06,0.96,9.0,163.32,55.27,55.27,51.72,0.7,1.16,True,True,2.0,yt_01_003450.jpg,assembly_worker_E943iVhG9dc.mp4,3450,Assembly Work,138.0
83.5,160.42,163.83,171.41,2.48,8.75,166.02,32.76,32.76,26.18,0.7,1.03,True,True,2.0,yt_01_003500.jpg,assembly_worker_E943iVhG9dc.mp4,3500,Assembly Work,140.0
89.11,152.94,152.71,153.81,2.31,9.17,162.14,43.3,43.3,53.37,0.7,0.02,True,True,2.0,yt_01_003550.jpg,assembly_worker_E943iVhG9dc.mp4,3550,Assembly Work,142.0
83.0,125.94,138.5,139.48,3.08,6.86,137.09,39.28,39.28,30.66,0.7,2.37,True,True,2.0,yt_01_003600.jpg,assembly_worker_E943iVhG9dc.mp4,3600,Assembly Work,144.0
124.32,92.56,132.8,112.23,3.88,4.08,151.7,4.46,4.46,6.08,0.7,3.21,True,True,2.0,yt_01_003650.jpg,assembly_worker_E943iVhG9dc.mp4,3650,Assembly Work,146.0
162.95,102.72,126.9,114.65,12.33,3.15,169.75,8.6,8.6,13.24,0.7,0.68,True,True,2.0,yt_01_003750.jpg,assembly_worker_E943iVhG9dc.mp4,3750,Assembly Work,150.0
118.67,103.93,108.08,117.02,2.19,4.35,153.95,4.83,4.83,4.49,0.7,2.42,True,True,2.0,yt_01_003800.jpg,assembly_worker_E943iVhG9dc.mp4,3800,Assembly Work,152.0
106.76,101.9,125.43,128.31,2.75,4.3,161.07,18.23,18.23,6.25,0.7,1.87,True,True,2.0,yt_01_003850.jpg,assembly_worker_E943iVhG9dc.mp4,3850,Assembly Work,154.0
175.36,110.25,110.18,111.41,9.38,4.97,163.77,5.67,5.67,16.72,0.7,0.63,True,True,2.0,yt_01_003900.jpg,assembly_worker_E943iVhG9dc.mp4,3900,Assembly Work,156.0
174.18,114.99,117.66,119.23,3.51,4.77,143.94,4.66,4.66,19.25,0.7,0.32,True,True,2.0,yt_01_003950.jpg,assembly_worker_E943iVhG9dc.mp4,3950,Assembly Work,158.0
102.01,113.14,128.16,128.33,5.66,5.26,121.08,34.27,34.27,18.29,0.7,2.34,True,True,2.0,yt_01_004000.jpg,assembly_worker_E943iVhG9dc.mp4,4000,Assembly Work,160.0
155.04,129.62,131.56,129.54,2.11,8.17,168.68,13.75,13.75,20.08,0.7,0.3,True,True,2.0,yt_01_004100.jpg,assembly_worker_E943iVhG9dc.mp4,4100,Assembly Work,164.0
177.58,129.62,128.74,134.56,10.28,7.58,178.15,9.21,9.21,26.95,0.7,0.56,True,True,2.0,yt_01_004150.jpg,assembly_worker_E943iVhG9dc.mp4,4150,Assembly Work,166.0
173.18,131.2,143.76,145.54,18.41,7.61,171.12,14.07,14.07,41.33,0.7,1.62,True,True,2.0,yt_01_004200.jpg,assembly_worker_E943iVhG9dc.mp4,4200,Assembly Work,168.0
124.47,141.01,136.54,149.96,4.16,8.07,175.09,26.71,26.71,42.95,0.7,0.45,True,True,2.0,yt_01_004250.jpg,assembly_worker_E943iVhG9dc.mp4,4250,Assembly Work,170.0
110.83,142.51,138.75,145.0,9.95,8.11,174.07,31.25,31.25,46.11,0.7,0.53,True,True,2.0,yt_01_004300.jpg,assembly_worker_E943iVhG9dc.mp4,4300,Assembly Work,172.0
110.84,129.17,131.59,102.68,18.19,7.91,170.54,36.75,36.75,28.29,0.7,1.4,True,True,2.0,yt_01_004350.jpg,assembly_worker_E943iVhG9dc.mp4,4350,Assembly Work,174.0
138.01,86.88,110.76,98.28,6.7,4.23,154.33,16.84,16.84,9.21,0.7,3.13,True,True,2.0,yt_01_004400.jpg,assembly_worker_E943iVhG9dc.mp4,4400,Assembly Work,176.0
110.99,113.4,117.53,97.72,6.92,5.47,136.37,20.87,20.87,14.42,0.7,1.2,True,True,2.0,yt_01_004450.jpg,assembly_worker_E943iVhG9dc.mp4,4450,Assembly Work,178.0
72.28,111.29,103.17,87.03,0.68,4.64,170.12,21.53,21.53,4.62,0.7,1.61,True,True,2.0,yt_01_004500.jpg,assembly_worker_E943iVhG9dc.mp4,4500,Assembly Work,180.0
163.87,126.65,143.11,104.23,0.18,7.8,178.48,5.79,5.79,21.8,0.7,0.69,True,True,2.0,yt_01_004550.jpg,assembly_worker_E943iVhG9dc.mp4,4550,Assembly Work,182.0
85.47,125.73,131.95,153.6,31.27,9.01,102.68,61.18,61.18,61.42,0.7,4.08,True,True,2.0,yt_01_004600.jpg,assembly_worker_E943iVhG9dc.mp4,4600,Assembly Work,184.0
118.84,157.95,174.66,160.84,5.55,11.02,165.06,37.74,37.74,42.11,0.7,1.06,True,True,2.0,yt_01_004650.jpg,assembly_worker_E943iVhG9dc.mp4,4650,Assembly Work,186.0
57.82,134.19,136.07,140.62,14.82,10.61,167.39,66.85,66.85,50.94,0.7,4.88,True,True,2.0,yt_01_004700.jpg,assembly_worker_E943iVhG9dc.mp4,4700,Assembly Work,188.0
37.68,120.96,150.65,164.87,23.21,11.18,166.75,60.54,60.54,54.34,0.7,10.26,True,True,2.0,yt_01_004750.jpg,assembly_worker_E943iVhG9dc.mp4,4750,Assembly Work,190.0
50.52,128.27,137.64,142.06,18.53,10.77,172.15,60.23,60.23,70.0,0.7,6.9,True,True,2.0,yt_01_004800.jpg,assembly_worker_E943iVhG9dc.mp4,4800,Assembly Work,192.0
61.49,123.63,154.9,166.34,31.2,7.39,146.62,59.66,59.66,58.9,0.7,3.46,True,True,2.0,yt_01_004850.jpg,assembly_worker_E943iVhG9dc.mp4,4850,Assembly Work,194.0
128.35,113.08,153.14,146.43,15.45,5.67,173.72,32.94,32.94,40.86,0.7,3.09,True,True,2.0,yt_01_004900.jpg,assembly_worker_E943iVhG9dc.mp4,4900,Assembly Work,196.0
28.39,113.87,173.54,172.83,34.14,9.83,176.04,36.43,36.43,48.82,0.7,10.83,True,True,2.0,yt_01_004950.jpg,assembly_worker_E943iVhG9dc.mp4,4950,Assembly Work,198.0
52.66,135.3,132.85,134.45,17.86,9.92,177.34,58.32,58.32,58.23,0.7,4.59,True,True,2.0,yt_01_005000.jpg,assembly_worker_E943iVhG9dc.mp4,5000,Assembly Work,200.0
45.49,136.82,133.35,133.22,11.86,8.85,176.13,50.95,50.95,41.79,0.7,3.36,True,True,2.0,yt_01_005050.jpg,assembly_worker_E943iVhG9dc.mp4,5050,Assembly Work,202.0
50.15,137.81,125.6,130.79,14.98,9.14,171.05,50.89,50.89,32.28,0.7,3.36,True,True,2.0,yt_01_005100.jpg,assembly_worker_E943iVhG9dc.mp4,5100,Assembly Work,204.0
52.17,140.1,133.7,130.33,12.55,9.01,178.17,50.54,50.54,36.24,0.7,2.82,True,True,2.0,yt_01_005150.jpg,assembly_worker_E943iVhG9dc.mp4,5150,Assembly Work,206.0
65.41,136.44,135.48,150.93,33.28,8.72,103.29,58.61,58.61,50.69,0.7,2.11,True,True,2.0,yt_01_005200.jpg,assembly_worker_E943iVhG9dc.mp4,5200,Assembly Work,208.0
63.85,127.77,146.81,155.88,19.52,7.18,149.54,47.36,47.36,41.27,0.7,3.17,True,True,2.0,yt_01_005250.jpg,assembly_worker_E943iVhG9dc.mp4,5250,Assembly Work,210.0
49.61,135.92,121.47,154.11,20.01,8.77,163.48,42.57,42.57,33.02,0.7,4.69,True,True,2.0,yt_01_005300.jpg,assembly_worker_E943iVhG9dc.mp4,5300,Assembly Work,212.0
51.22,137.74,133.33,134.88,11.0,8.7,165.2,50.75,50.75,40.49,0.7,2.81,True,True,2.0,yt_01_005350.jpg,assembly_worker_E943iVhG9dc.mp4,5350,Assembly Work,214.0
50.42,137.03,124.92,130.9,12.36,8.77,161.62,51.7,51.7,37.82,0.7,3.25,True,True,2.0,yt_01_005400.jpg,assembly_worker_E943iVhG9dc.mp4,5400,Assembly Work,216.0
43.72,134.01,113.78,132.92,19.14,8.12,173.0,42.67,42.67,26.0,0.7,3.88,True,True,2.0,yt_01_005450.jpg,assembly_worker_E943iVhG9dc.mp4,5450,Assembly Work,218.0
80.61,128.03,151.17,171.23,24.51,6.84,123.29,51.67,51.67,61.82,0.7,1.87,True,True,2.0,yt_01_005500.jpg,assembly_worker_E943iVhG9dc.mp4,5500,Assembly Work,220.0
78.85,135.0,134.39,125.26,4.13,9.6,158.34,55.13,55.13,52.35,0.7,3.03,True,True,2.0,yt_01_005550.jpg,assembly_worker_E943iVhG9dc.mp4,5550,Assembly Work,222.0
81.86,129.64,139.58,165.2,19.6,7.86,133.08,58.51,58.51,63.57,0.7,2.63,True,True,2.0,yt_01_005600.jpg,assembly_worker_E943iVhG9dc.mp4,5600,Assembly Work,224.0
101.9,113.77,138.04,143.47,3.75,7.11,127.06,51.8,51.8,42.9,0.7,4.95,True,True,2.0,yt_01_005650.jpg,assembly_worker_E943iVhG9dc.mp4,5650,Assembly Work,226.0
49.16,138.74,140.32,149.87,7.1,7.21,136.57,42.24,42.24,46.42,0.7,1.98,True,True,2.0,yt_01_005700.jpg,assembly_worker_E943iVhG9dc.mp4,5700,Assembly Work,228.0
43.68,141.49,132.65,151.52,8.35,6.84,171.0,40.07,40.07,38.25,0.7,1.6,True,True,2.0,yt_01_005750.jpg,assembly_worker_E943iVhG9dc.mp4,5750,Assembly Work,230.0
87.52,122.38,135.39,126.68,25.3,8.62,138.52,59.24,59.24,63.48,0.7,4.61,True,True,2.0,yt_01_005800.jpg,assembly_worker_E943iVhG9dc.mp4,5800,Assembly Work,232.0
54.2,122.92,143.51,137.14,6.37,8.57,159.71,56.99,56.99,56.8,0.7,5.69,True,True,2.0,yt_01_005850.jpg,assembly_worker_E943iVhG9dc.mp4,5850,Assembly Work,234.0
75.77,128.19,141.94,137.43,18.33,9.18,140.22,62.16,62.16,64.28,0.7,4.47,True,True,2.0,yt_01_005900.jpg,assembly_worker_E943iVhG9dc.mp4,5900,Assembly Work,236.0
62.76,127.04,133.17,151.87,31.72,7.93,118.15,61.31,61.31,52.25,0.7,3.04,True,True,2.0,yt_01_005950.jpg,assembly_worker_E943iVhG9dc.mp4,5950,Assembly Work,238.0
76.78,146.37,148.99,150.08,2.58,9.69,161.2,50.16,50.16,60.22,0.7,1.55,True,True,2.0,yt_01_006000.jpg,assembly_worker_E943iVhG9dc.mp4,6000,Assembly Work,240.0
55.14,137.08,136.91,139.25,11.33,9.64,128.23,56.17,56.17,55.09,0.7,3.38,True,True,2.0,yt_01_006050.jpg,assembly_worker_E943iVhG9dc.mp4,6050,Assembly Work,242.0
70.2,129.05,130.84,128.98,12.92,8.32,43.16,53.65,53.65,44.48,0.7,2.7,True,True,2.0,yt_01_006100.jpg,assembly_worker_E943iVhG9dc.mp4,6100,Assembly Work,244.0
96.68,149.13,161.12,158.82,16.22,9.54,149.04,60.25,60.25,46.69,0.7,0.83,True,True,2.0,yt_01_006150.jpg,assembly_worker_E943iVhG9dc.mp4,6150,Assembly Work,246.0
84.78,152.45,149.56,160.27,10.98,10.57,170.1,52.79,52.79,56.07,0.7,0.13,True,True,2.0,yt_01_006200.jpg,assembly_worker_E943iVhG9dc.mp4,6200,Assembly Work,248.0
70.4,153.86,159.86,159.54,11.47,10.38,173.84,62.64,62.64,55.18,0.7,0.23,True,True,2.0,yt_01_006250.jpg,assembly_worker_E943iVhG9dc.mp4,6250,Assembly Work,250.0
79.87,144.37,145.23,145.84,0.64,9.96,160.62,58.03,58.03,55.35,0.7,2.03,True,True,2.0,yt_01_006300.jpg,assembly_worker_E943iVhG9dc.mp4,6300,Assembly Work,252.0
112.61,148.94,168.5,157.36,11.4,11.9,168.33,80.39,80.39,81.26,0.7,1.43,True,True,2.0,yt_01_006350.jpg,assembly_worker_E943iVhG9dc.mp4,6350,Assembly Work,254.0
99.66,156.08,169.63,159.99,1.19,9.99,158.62,49.86,49.86,52.2,0.7,0.37,True,True,2.0,yt_01_006400.jpg,assembly_worker_E943iVhG9dc.mp4,6400,Assembly Work,256.0
96.23,151.84,156.43,163.42,1.04,9.71,169.88,53.07,53.07,63.93,0.7,0.08,True,True,2.0,yt_01_006450.jpg,assembly_worker_E943iVhG9dc.mp4,6450,Assembly Work,258.0
93.15,150.02,162.65,150.19,4.18,9.57,131.67,57.57,57.57,58.02,0.7,0.74,True,True,2.0,yt_01_006500.jpg,assembly_worker_E943iVhG9dc.mp4,6500,Assembly Work,260.0
74.03,144.7,157.48,166.41,18.04,8.62,175.12,49.11,49.11,55.54,0.7,1.41,True,True,2.0,yt_01_006550.jpg,assembly_worker_E943iVhG9dc.mp4,6550,Assembly Work,262.0
72.54,145.98,159.65,167.53,10.19,8.93,175.14,49.03,49.03,54.97,0.7,1.67,True,True,2.0,yt_01_006600.jpg,assembly_worker_E943iVhG9dc.mp4,6600,Assembly Work,264.0
69.69,147.89,158.25,161.31,13.48,9.17,173.87,49.73,49.73,53.29,0.7,1.71,True,True,2.0,yt_01_006650.jpg,assembly_worker_E943iVhG9dc.mp4,6650,Assembly Work,266.0
61.31,143.03,145.08,147.6,2.67,9.06,174.11,53.84,53.84,50.37,0.7,2.96,True,True,2.0,yt_01_006700.jpg,assembly_worker_E943iVhG9dc.mp4,6700,Assembly Work,268.0
