path,video,frame_name,auto_task,auto_risk,confidence,human_task,human_risk,quality,notes
data\diverse_training_data\frames\yt00_001860.jpg,,yt00_001860.jpg,Unknown,LOW,0,Assembly Work,LOW,partial,
data\diverse_training_data\frames\yt00_001920.jpg,,yt00_001920.jpg,Unknown,LOW,0,Assembly Work,LOW,partial,
data\diverse_training_data\frames\yt00_001980.jpg,,yt00_001980.jpg,Unknown,LOW,0,Assembly Work,LOW,partial,
data\diverse_training_data\frames\yt00_002040.jpg,,yt00_002040.jpg,Unknown,LOW,0,Assembly Work,LOW,clear,
data\diverse_training_data\frames\yt00_002220.jpg,,yt00_002220.jpg,Unknown,LOW,0,Unknown,LOW,blurry,
data\diverse_training_data\frames\yt01_000250.jpg,,yt01_000250.jpg,Unknown,LOW,0,Unknown,LOW,blurry,
data\diverse_training_data\frames\yt01_000350.jpg,,yt01_000350.jpg,Unknown,LOW,0,Assembly Work,MEDIUM,partial,
data\diverse_training_data\frames\yt01_000400.jpg,,yt01_000400.jpg,Unknown,LOW,0,Walking / Moving,LOW,partial,
data\diverse_training_data\frames\yt01_000450.jpg,,yt01_000450.jpg,Unknown,LOW,0,Walking / Moving,LOW,partial,
data\diverse_training_data\frames\yt01_000550.jpg,,yt01_000550.jpg,Unknown,LOW,0,Assembly Work,LOW,partial,
data\diverse_training_data\frames\yt01_000600.jpg,,yt01_000600.jpg,Unknown,LOW,0,Assembly Work,MEDIUM,partial,
data\diverse_training_data\frames\yt01_000650.jpg,,yt01_000650.jpg,Unknown,LOW,0,Walking / Moving,LOW,clear,
data\diverse_training_data\frames\yt01_000700.jpg,,yt01_000700.jpg,Unknown,LOW,0,Walking / Moving,LOW,clear,
data\diverse_training_data\frames\yt01_000800.jpg,,yt01_000800.jpg,Unknown,LOW,0,Assembly Work,LOW,partial,
data\diverse_training_data\frames\yt01_000850.jpg,,yt01_000850.jpg,Unknown,LOW,0,Seated Work,LOW,partial,
data\diverse_training_data\frames\yt01_000900.jpg,,yt01_000900.jpg,Unknown,LOW,0,Seated Work,LOW,partial,
data\diverse_training_data\frames\yt01_000950.jpg,,yt01_000950.jpg,Unknown,LOW,0,Assembly Work,LOW,occluded,
data\diverse_training_data\frames\yt01_001050.jpg,,yt01_001050.jpg,Unknown,LOW,0,Unknown,LOW,partial,
data\diverse_training_data\frames\yt01_001100.jpg,,yt01_001100.jpg,Unknown,LOW,0,Neutral Standing,LOW,partial,
data\diverse_training_data\frames\yt01_001150.jpg,,yt01_001150.jpg,Unknown,LOW,0,Unknown,LOW,,
data\diverse_training_data\frames\yt01_001250.jpg,,yt01_001250.jpg,Unknown,LOW,0,Assembly Work,LOW,partial,
data\diverse_training_data\frames\yt01_001300.jpg,,yt01_001300.jpg,Unknown,LOW,0,Assembly Work,LOW,partial,
data\diverse_training_data\frames\yt01_001450.jpg,,yt01_001450.jpg,Unknown,LOW,0,Assembly Work,LOW,partial,
data\diverse_training_data\frames\yt01_001500.jpg,,yt01_001500.jpg,Unknown,LOW,0,Assembly Work,LOW,partial,
data\diverse_training_data\frames\yt01_001550.jpg,,yt01_001550.jpg,Unknown,LOW,0,Assembly Work,LOW,partial,
data\diverse_training_data\frames\yt01_001600.jpg,,yt01_001600.jpg,Unknown,LOW,0,Assembly Work,LOW,partial,
data\diverse_training_data\frames\yt01_001700.jpg,,yt01_001700.jpg,Unknown,LOW,0,Assembly Work,LOW,occluded,
data\diverse_training_data\frames\yt01_001750.jpg,,yt01_001750.jpg,Unknown,LOW,0,Lifting / Picking,HIGH,clear,
data\diverse_training_data\frames\yt01_001800.jpg,,yt01_001800.jpg,Unknown,LOW,0,Lifting / Picking,HIGH,clear,
data\diverse_training_data\frames\yt01_001850.jpg,,yt01_001850.jpg,Unknown,LOW,0,Lifting / Picking,HIGH,clear,
data\diverse_training_data\frames\yt01_001900.jpg,,yt01_001900.jpg,Unknown,LOW,0,Lifting / Picking,HIGH,clear,
data\diverse_training_data\frames\yt01_002000.jpg,,yt01_002000.jpg,Unknown,LOW,0,Lifting / Picking,HIGH,clear,
data\diverse_training_data\frames\yt01_002050.jpg,,yt01_002050.jpg,Unknown,LOW,0,Lifting / Picking,HIGH,clear,
data\diverse_training_data\frames\yt01_002100.jpg,,yt01_002100.jpg,Unknown,LOW,0,Lifting / Picking,HIGH,clear,
data\diverse_training_data\frames\yt01_002150.jpg,,yt01_002150.jpg,Unknown,LOW,0,Unknown,LOW,blurry,
data\diverse_training_data\frames\yt01_002200.jpg,,yt01_002200.jpg,Unknown,LOW,0,Lifting / Picking,HIGH,clear,
data\diverse_training_data\frames\yt01_002250.jpg,,yt01_002250.jpg,Unknown,LOW,0,Lifting / Picking,HIGH,,
data\diverse_training_data\frames\yt01_002300.jpg,,yt01_002300.jpg,Unknown,LOW,0,Lifting / Picking,HIGH,clear,
data\diverse_training_data\frames\yt01_002350.jpg,,yt01_002350.jpg,Unknown,LOW,0,Lifting / Picking,HIGH,clear,
data\diverse_training_data\frames\yt01_002400.jpg,,yt01_002400.jpg,Unknown,LOW,0,Lifting / Picking,HIGH,clear,
data\diverse_training_data\frames\yt01_002450.jpg,,yt01_002450.jpg,Unknown,LOW,0,Assembly Work,LOW,partial,
data\diverse_training_data\frames\yt01_002500.jpg,,yt01_002500.jpg,Unknown,LOW,0,Reaching,LOW,,
data\diverse_training_data\frames\yt01_002600.jpg,,yt01_002600.jpg,Unknown,LOW,0,Lifting / Picking,MEDIUM,partial,
data\diverse_training_data\frames\yt01_002650.jpg,,yt01_002650.jpg,Unknown,LOW,0,Inspection,LOW,partial,
data\diverse_training_data\frames\yt01_002750.jpg,,yt01_002750.jpg,Unknown,LOW,0,Unknown,LOW,partial,
data\diverse_training_data\frames\yt01_002800.jpg,,yt01_002800.jpg,Unknown,LOW,0,Unknown,LOW,blurry,
data\diverse_training_data\frames\yt01_002900.jpg,,yt01_002900.jpg,Unknown,LOW,0,Unknown,LOW,blurry,
data\diverse_training_data\frames\yt01_002950.jpg,,yt01_002950.jpg,Unknown,LOW,0,Unknown,LOW,blurry,
data\diverse_training_data\frames\yt01_003000.jpg,,yt01_003000.jpg,Unknown,LOW,0,Unknown,LOW,blurry,
data\diverse_training_data\frames\yt01_003050.jpg,,yt01_003050.jpg,Unknown,LOW,0,Lifting / Picking,HIGH,clear,
data\diverse_training_data\frames\yt01_003100.jpg,,yt01_003100.jpg,Unknown,LOW,0,Assembly Work,MEDIUM,clear,
data\diverse_training_data\frames\yt01_003150.jpg,,yt01_003150.jpg,Unknown,LOW,0,Assembly Work,MEDIUM,clear,
data\diverse_training_data\frames\yt01_003200.jpg,,yt01_003200.jpg,Unknown,LOW,0,Unknown,LOW,blurry,
data\diverse_training_data\frames\yt01_003300.jpg,,yt01_003300.jpg,Unknown,LOW,0,Seated Work,LOW,partial,
data\diverse_training_data\frames\yt01_003350.jpg,,yt01_003350.jpg,Unknown,LOW,0,Seated Work,LOW,partial,
data\diverse_training_data\frames\yt01_003450.jpg,,yt01_003450.jpg,Unknown,LOW,0,Reaching,MEDIUM,clear,
data\diverse_training_data\frames\yt01_003550.jpg,,yt01_003550.jpg,Unknown,LOW,0,Lifting / Picking,HIGH,clear,
data\diverse_training_data\frames\yt01_003600.jpg,,yt01_003600.jpg,Unknown,LOW,0,Walking / Moving,MEDIUM,,
data\diverse_training_data\frames\yt01_003650.jpg,,yt01_003650.jpg,Unknown,LOW,0,Walking / Moving,MEDIUM,,
data\diverse_training_data\frames\yt01_003700.jpg,,yt01_003700.jpg,Unknown,LOW,0,Walking / Moving,MEDIUM,,
data\diverse_training_data\frames\yt01_003800.jpg,,yt01_003800.jpg,Unknown,LOW,0,Neutral Standing,MEDIUM,clear,
data\diverse_training_data\frames\yt01_003850.jpg,,yt01_003850.jpg,Unknown,LOW,0,Assembly Work,MEDIUM,partial,
data\diverse_training_data\frames\yt01_003900.jpg,,yt01_003900.jpg,Unknown,LOW,0,Seated Work,LOW,partial,
data\diverse_training_data\frames\yt02_000150.jpg,,yt02_000150.jpg,Unknown,LOW,0,Seated Work,LOW,partial,
data\diverse_training_data\frames\yt02_000200.jpg,,yt02_000200.jpg,Unknown,LOW,0,Seated Work,LOW,partial,
data\diverse_training_data\frames\yt02_000250.jpg,,yt02_000250.jpg,Unknown,LOW,0,Seated Work,LOW,partial,
data\diverse_training_data\frames\yt02_000300.jpg,,yt02_000300.jpg,Unknown,LOW,0,Seated Work,LOW,partial,
data\diverse_training_data\frames\yt02_000350.jpg,,yt02_000350.jpg,Unknown,LOW,0,Reaching,HIGH,clear,
data\diverse_training_data\frames\yt02_000400.jpg,,yt02_000400.jpg,Unknown,LOW,0,Reaching,HIGH,clear,
data\diverse_training_data\frames\yt02_000450.jpg,,yt02_000450.jpg,Unknown,LOW,0,Reaching,HIGH,clear,
data\diverse_training_data\frames\yt02_000500.jpg,,yt02_000500.jpg,Unknown,LOW,0,Reaching,HIGH,clear,
data\diverse_training_data\frames\yt02_000600.jpg,,yt02_000600.jpg,Unknown,LOW,0,Seated Work,LOW,partial,
data\diverse_training_data\frames\yt02_000650.jpg,,yt02_000650.jpg,Unknown,LOW,0,Seated Work,LOW,partial,
data\diverse_training_data\frames\yt02_000700.jpg,,yt02_000700.jpg,Unknown,LOW,0,Seated Work,LOW,partial,
data\diverse_training_data\frames\yt02_002200.jpg,,yt02_002200.jpg,Unknown,LOW,0,Seated Work,LOW,partial,
data\diverse_training_data\frames\yt02_002250.jpg,,yt02_002250.jpg,Unknown,LOW,0,Seated Work,LOW,partial,
data\diverse_training_data\frames\yt02_002300.jpg,,yt02_002300.jpg,Unknown,LOW,0,Seated Work,LOW,partial,
data\diverse_training_data\frames\yt02_002350.jpg,,yt02_002350.jpg,Unknown,LOW,0,Neutral Standing,LOW,occluded,
data\diverse_training_data\frames\yt02_002400.jpg,,yt02_002400.jpg,Unknown,LOW,0,Reaching,HIGH,clear,
data\diverse_training_data\frames\yt02_002450.jpg,,yt02_002450.jpg,Unknown,LOW,0,Lifting / Picking,HIGH,clear,
data\diverse_training_data\frames\yt02_002500.jpg,,yt02_002500.jpg,Unknown,LOW,0,Lifting / Picking,HIGH,clear,
data\diverse_training_data\frames\yt02_002550.jpg,,yt02_002550.jpg,Unknown,LOW,0,Lifting / Picking,HIGH,clear,
data\diverse_training_data\frames\yt02_002600.jpg,,yt02_002600.jpg,Unknown,LOW,0,Lifting / Picking,HIGH,clear,
data\diverse_training_data\frames\yt02_002650.jpg,,yt02_002650.jpg,Unknown,LOW,0,Lifting / Picking,HIGH,clear,
data\diverse_training_data\frames\yt02_002700.jpg,,yt02_002700.jpg,Unknown,LOW,0,Lifting / Picking,HIGH,clear,
data\diverse_training_data\frames\yt02_002750.jpg,,yt02_002750.jpg,Unknown,LOW,0,Lifting / Picking,HIGH,clear,
data\diverse_training_data\frames\yt02_002800.jpg,,yt02_002800.jpg,Unknown,LOW,0,Lifting / Picking,HIGH,clear,
data\diverse_training_data\frames\yt02_002850.jpg,,yt02_002850.jpg,Unknown,LOW,0,Lifting / Picking,HIGH,clear,
data\diverse_training_data\frames\yt02_002900.jpg,,yt02_002900.jpg,Unknown,LOW,0,Lifting / Picking,HIGH,clear,
data\diverse_training_data\frames\yt02_002950.jpg,,yt02_002950.jpg,Unknown,LOW,0,Lifting / Picking,HIGH,clear,
data\diverse_training_data\frames\yt02_003000.jpg,,yt02_003000.jpg,Unknown,LOW,0,Lifting / Picking,HIGH,clear,
data\diverse_training_data\frames\yt02_003050.jpg,,yt02_003050.jpg,Unknown,LOW,0,Lifting / Picking,HIGH,clear,
data\diverse_training_data\frames\yt02_003100.jpg,,yt02_003100.jpg,Unknown,LOW,0,Lifting / Picking,HIGH,clear,
data\diverse_training_data\frames\yt02_003150.jpg,,yt02_003150.jpg,Unknown,LOW,0,Lifting / Picking,HIGH,clear,
data\diverse_training_data\frames\yt02_003200.jpg,,yt02_003200.jpg,Unknown,LOW,0,Lifting / Picking,HIGH,clear,
data\diverse_training_data\frames\yt02_003250.jpg,,yt02_003250.jpg,Unknown,LOW,0,Seated Work,LOW,partial,
data\diverse_training_data\frames\yt02_003300.jpg,,yt02_003300.jpg,Unknown,LOW,0,Seated Work,LOW,partial,
data\diverse_training_data\frames\yt02_003350.jpg,,yt02_003350.jpg,Unknown,LOW,0,Seated Work,LOW,partial,
data\diverse_training_data\frames\yt02_003400.jpg,,yt02_003400.jpg,Unknown,LOW,0,Seated Work,LOW,partial,
data\diverse_training_data\frames\yt02_003450.jpg,,yt02_003450.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt02_003500.jpg,,yt02_003500.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt02_003550.jpg,,yt02_003550.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt02_003600.jpg,,yt02_003600.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt02_003650.jpg,,yt02_003650.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt02_003700.jpg,,yt02_003700.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt02_003750.jpg,,yt02_003750.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt02_003800.jpg,,yt02_003800.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt02_003850.jpg,,yt02_003850.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt02_003900.jpg,,yt02_003900.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt02_004250.jpg,,yt02_004250.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt03_000177.jpg,,yt03_000177.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt03_000236.jpg,,yt03_000236.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt03_000354.jpg,,yt03_000354.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt03_000413.jpg,,yt03_000413.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt03_000649.jpg,,yt03_000649.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt03_000708.jpg,,yt03_000708.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt03_000767.jpg,,yt03_000767.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt03_000826.jpg,,yt03_000826.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt03_000885.jpg,,yt03_000885.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt03_000944.jpg,,yt03_000944.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt03_001003.jpg,,yt03_001003.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt03_001062.jpg,,yt03_001062.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt03_001239.jpg,,yt03_001239.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt03_001298.jpg,,yt03_001298.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt03_001357.jpg,,yt03_001357.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt03_001475.jpg,,yt03_001475.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt03_001534.jpg,,yt03_001534.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt03_001947.jpg,,yt03_001947.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt03_002006.jpg,,yt03_002006.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt03_002537.jpg,,yt03_002537.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt03_002596.jpg,,yt03_002596.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt03_002655.jpg,,yt03_002655.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt03_002773.jpg,,yt03_002773.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt03_002891.jpg,,yt03_002891.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt03_002950.jpg,,yt03_002950.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt03_003009.jpg,,yt03_003009.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt03_003068.jpg,,yt03_003068.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt03_003245.jpg,,yt03_003245.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt03_003363.jpg,,yt03_003363.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt03_003540.jpg,,yt03_003540.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt03_003599.jpg,,yt03_003599.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt03_003717.jpg,,yt03_003717.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt03_003835.jpg,,yt03_003835.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt03_004071.jpg,,yt03_004071.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt03_004130.jpg,,yt03_004130.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt03_004189.jpg,,yt03_004189.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt03_004248.jpg,,yt03_004248.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt03_004307.jpg,,yt03_004307.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt03_004366.jpg,,yt03_004366.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt03_004425.jpg,,yt03_004425.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt03_004543.jpg,,yt03_004543.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt03_004602.jpg,,yt03_004602.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt03_004661.jpg,,yt03_004661.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt03_005074.jpg,,yt03_005074.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt03_005133.jpg,,yt03_005133.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt03_005310.jpg,,yt03_005310.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt03_005369.jpg,,yt03_005369.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt03_005428.jpg,,yt03_005428.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt_01_000000.jpg,,yt_01_000000.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt_01_000050.jpg,,yt_01_000050.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt_01_000100.jpg,,yt_01_000100.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt_01_000150.jpg,,yt_01_000150.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt_01_000200.jpg,,yt_01_000200.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt_01_000250.jpg,,yt_01_000250.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt_01_000300.jpg,,yt_01_000300.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt_01_000350.jpg,,yt_01_000350.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt_01_000400.jpg,,yt_01_000400.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt_01_000450.jpg,,yt_01_000450.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt_01_000500.jpg,,yt_01_000500.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt_01_000550.jpg,,yt_01_000550.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt_01_000600.jpg,,yt_01_000600.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt_01_000650.jpg,,yt_01_000650.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt_01_000700.jpg,,yt_01_000700.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt_01_000750.jpg,,yt_01_000750.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt_01_000800.jpg,,yt_01_000800.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt_01_000850.jpg,,yt_01_000850.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt_01_000900.jpg,,yt_01_000900.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt_01_000950.jpg,,yt_01_000950.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt_01_001000.jpg,,yt_01_001000.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt_01_001050.jpg,,yt_01_001050.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt_01_001100.jpg,,yt_01_001100.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt_01_001150.jpg,,yt_01_001150.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt_01_001200.jpg,,yt_01_001200.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt_01_001250.jpg,,yt_01_001250.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt_01_001300.jpg,,yt_01_001300.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt_01_001350.jpg,,yt_01_001350.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt_01_001400.jpg,,yt_01_001400.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt_01_001450.jpg,,yt_01_001450.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt_01_001500.jpg,,yt_01_001500.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt_01_001550.jpg,,yt_01_001550.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt_01_001600.jpg,,yt_01_001600.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt_01_001650.jpg,,yt_01_001650.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt_01_001700.jpg,,yt_01_001700.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt_01_001750.jpg,,yt_01_001750.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt_01_001800.jpg,,yt_01_001800.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt_01_001850.jpg,,yt_01_001850.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt_01_001900.jpg,,yt_01_001900.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt_01_001950.jpg,,yt_01_001950.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt_01_002000.jpg,,yt_01_002000.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt_01_002050.jpg,,yt_01_002050.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt_01_002100.jpg,,yt_01_002100.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt_01_002150.jpg,,yt_01_002150.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt_01_002200.jpg,,yt_01_002200.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt_01_002250.jpg,,yt_01_002250.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt_01_002300.jpg,,yt_01_002300.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt_01_002350.jpg,,yt_01_002350.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt_01_002400.jpg,,yt_01_002400.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt_01_002450.jpg,,yt_01_002450.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt_01_002500.jpg,,yt_01_002500.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt_01_002550.jpg,,yt_01_002550.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt_01_002600.jpg,,yt_01_002600.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt_01_002650.jpg,,yt_01_002650.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt_01_002700.jpg,,yt_01_002700.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt_01_002750.jpg,,yt_01_002750.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt_01_002800.jpg,,yt_01_002800.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt_01_002850.jpg,,yt_01_002850.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt_01_002900.jpg,,yt_01_002900.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt_01_002950.jpg,,yt_01_002950.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt_01_003000.jpg,,yt_01_003000.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt_01_003050.jpg,,yt_01_003050.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt_01_003100.jpg,,yt_01_003100.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt_01_003150.jpg,,yt_01_003150.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt_01_003200.jpg,,yt_01_003200.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt_01_003250.jpg,,yt_01_003250.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt_01_003300.jpg,,yt_01_003300.jpg,Unknown,LOW,0,,,,
data\diverse_training_data\frames\yt_01_003350.jpg,,yt_01_003350.jpg,Unknown,LOW,0,,,,
