neck_flexion,trunk_flexion,left_shoulder_elev,right_shoulder_elev,shoulder_symmetry,alignment_deviation,knee_angle,forward_head_posture,head_tilt_angle,wrist_deviation_angle,stance_stability,weight_shift_offset,lower_body_visible,upper_body_visible,body_visibility,frame_name,source_video,task_label
88.31,120.18,108.24,111.7,7.98,10.85,164.48,32.26,32.26,35.86,0.7,1.06,True,True,2.0,yt02_002550.jpg,yt02,Neutral Standing
96.3,122.2,121.36,109.95,7.25,10.67,161.99,22.16,22.16,34.62,0.7,0.65,True,True,2.0,yt02_002600.jpg,yt02,Neutral Standing
105.78,128.16,123.88,108.22,3.5,11.68,176.21,22.19,22.19,45.45,0.7,1.58,True,True,2.0,yt02_002650.jpg,yt02,Neutral Standing
108.02,129.1,105.73,106.95,1.43,11.93,168.38,12.65,12.65,48.31,0.7,1.28,True,True,2.0,yt02_002700.jpg,yt02,Neutral Standing
108.87,127.86,107.39,109.13,3.0,12.09,172.9,10.68,10.68,45.99,0.7,1.04,True,True,2.0,yt02_002750.jpg,yt02,Neutral Standing
169.65,122.18,97.92,53.95,12.46,12.59,179.08,7.83,7.83,3.0,0.7,1.19,True,True,2.0,yt02_002800.jpg,yt02,Neutral Standing
177.53,120.38,76.93,26.35,12.39,11.65,170.84,14.77,14.77,12.9,0.7,0.83,True,True,2.0,yt02_002850.jpg,yt02,Neutral Standing
177.33,120.38,76.93,26.31,12.24,11.65,170.43,14.65,14.65,12.83,0.7,0.74,True,True,2.0,yt02_002900.jpg,yt02,Neutral Standing
169.34,121.48,82.22,26.56,14.11,11.91,171.04,14.89,14.89,18.07,0.7,1.3,True,True,2.0,yt02_002950.jpg,yt02,Neutral Standing
175.98,149.9,106.94,137.32,23.42,9.85,166.91,56.65,56.65,23.76,0.7,4.69,True,True,2.0,yt02_003000.jpg,yt02,Neutral Standing
169.6,172.35,130.49,131.75,24.15,10.15,160.31,55.59,55.59,30.41,0.7,11.06,True,True,2.0,yt02_003050.jpg,yt02,Neutral Standing
169.88,171.59,132.45,138.11,27.55,9.94,152.23,56.22,56.22,33.15,0.7,10.99,True,True,2.0,yt02_003100.jpg,yt02,Neutral Standing
175.17,171.7,129.47,130.64,21.8,9.91,137.81,48.57,48.57,31.01,0.7,10.92,True,True,2.0,yt02_003150.jpg,yt02,Neutral Standing
144.61,149.02,159.75,132.55,10.25,9.88,155.11,55.72,55.72,25.48,0.7,5.14,True,True,2.0,yt02_003200.jpg,yt02,Neutral Standing
162.27,160.9,133.66,130.67,15.1,11.27,62.71,40.62,40.62,35.36,0.7,5.46,True,True,2.0,yt02_003250.jpg,yt02,Neutral Standing
165.22,141.49,114.25,118.38,12.1,11.15,112.21,52.62,52.62,38.63,0.7,2.33,True,True,2.0,yt02_003300.jpg,yt02,Neutral Standing
151.17,132.24,108.81,93.99,19.35,12.27,133.14,50.68,50.68,66.37,0.7,0.4,True,True,2.0,yt02_003350.jpg,yt02,Neutral Standing
163.27,137.83,106.05,96.52,13.91,11.66,81.82,49.79,49.79,62.25,0.7,1.67,True,True,2.0,yt02_003400.jpg,yt02,Neutral Standing
160.19,138.37,92.01,100.04,15.45,11.66,132.93,49.92,49.92,55.81,0.7,2.06,True,True,2.0,yt02_003450.jpg,yt02,Neutral Standing
172.28,130.07,85.79,89.37,0.81,10.28,105.5,67.92,67.92,58.18,0.7,0.76,True,True,2.0,yt02_003500.jpg,yt02,Neutral Standing
177.04,129.96,80.49,76.83,3.15,10.3,139.11,62.49,62.49,47.06,0.7,1.03,True,True,2.0,yt02_003550.jpg,yt02,Neutral Standing
178.18,145.27,74.91,103.32,9.05,10.65,122.23,54.74,54.74,50.88,0.7,3.63,True,True,2.0,yt02_003600.jpg,yt02,Neutral Standing
170.02,141.9,100.89,107.18,16.12,11.35,80.29,57.41,57.41,56.99,0.7,2.89,True,True,2.0,yt02_003650.jpg,yt02,Neutral Standing
163.03,135.34,113.32,79.0,22.79,12.09,111.58,55.16,55.16,58.98,0.7,1.0,True,True,2.0,yt02_003700.jpg,yt02,Neutral Standing
161.15,135.29,120.58,116.28,20.22,12.07,125.49,61.21,61.21,75.07,0.7,0.84,True,True,2.0,yt02_003750.jpg,yt02,Neutral Standing
161.67,136.54,119.16,89.27,24.11,12.19,139.91,59.62,59.62,62.79,0.7,1.29,True,True,2.0,yt02_003800.jpg,yt02,Neutral Standing
164.43,136.73,105.08,105.51,21.48,12.35,127.54,60.57,60.57,69.51,0.7,1.48,True,True,2.0,yt02_003850.jpg,yt02,Neutral Standing
163.52,140.26,103.4,98.98,6.74,11.91,122.09,51.3,51.3,59.13,0.7,2.35,True,True,2.0,yt02_003900.jpg,yt02,Neutral Standing
73.78,161.98,87.74,162.41,23.05,5.15,157.37,23.94,23.94,8.77,0.7,4.4,True,True,2.0,yt03_000177.jpg,yt03,Neutral Standing
89.6,156.64,17.53,148.92,12.79,15.71,63.85,39.65,39.65,93.14,0.7,6.79,True,True,2.0,yt03_000354.jpg,yt03,Neutral Standing
113.44,159.16,112.26,137.34,159.57,23.77,170.21,66.89,66.89,53.21,0.7,33.09,True,True,2.0,yt03_000649.jpg,yt03,Neutral Standing
94.07,177.97,126.13,134.42,8.01,12.89,83.88,56.43,56.43,50.53,0.7,3.09,True,True,2.0,yt03_000708.jpg,yt03,Neutral Standing
98.68,178.2,118.37,124.26,7.98,12.5,99.76,58.61,58.61,49.23,0.7,3.99,True,True,2.0,yt03_000767.jpg,yt03,Neutral Standing
61.02,145.84,133.01,136.6,32.58,17.14,168.73,55.05,55.05,67.74,0.7,3.01,True,True,2.0,yt03_000826.jpg,yt03,Neutral Standing
67.55,133.08,123.38,117.21,24.43,14.62,165.91,78.73,78.73,82.44,0.7,1.86,True,True,2.0,yt03_000885.jpg,yt03,Neutral Standing
129.71,150.6,168.36,154.44,0.97,13.0,80.42,1.48,1.48,3.94,0.7,0.98,True,True,2.0,yt03_000944.jpg,yt03,Neutral Standing
132.41,89.11,11.7,5.78,34.31,11.14,99.69,11.16,11.16,28.59,0.7,6.92,True,True,2.0,yt03_001062.jpg,yt03,Neutral Standing
97.32,177.32,175.07,177.2,5.75,12.3,166.74,56.11,56.11,33.57,0.7,2.82,True,True,2.0,yt03_001239.jpg,yt03,Neutral Standing
97.7,177.22,175.65,177.25,5.31,12.27,163.48,54.81,54.81,33.39,0.7,2.79,True,True,2.0,yt03_001298.jpg,yt03,Neutral Standing
115.05,161.55,152.43,166.2,10.32,12.31,166.15,25.82,25.82,11.94,0.7,1.49,True,True,2.0,yt03_001357.jpg,yt03,Neutral Standing
73.39,133.33,154.23,133.46,13.3,9.41,79.46,44.24,44.24,34.68,0.7,0.41,True,True,2.0,yt03_001475.jpg,yt03,Neutral Standing
101.87,128.87,149.96,137.18,10.9,9.17,76.42,35.13,35.13,31.82,0.7,0.75,True,True,2.0,yt03_001534.jpg,yt03,Neutral Standing
177.4,121.42,142.3,79.23,8.35,11.51,139.06,50.1,50.1,19.52,0.7,2.79,True,True,2.0,yt03_001947.jpg,yt03,Neutral Standing
163.72,116.85,119.03,92.31,11.07,15.11,53.78,13.51,13.51,6.92,0.7,0.3,True,True,2.0,yt03_002006.jpg,yt03,Neutral Standing
96.44,143.79,140.12,137.93,3.31,15.42,161.12,52.44,52.44,78.53,0.7,0.54,True,True,2.0,yt03_002537.jpg,yt03,Neutral Standing
102.35,142.69,151.24,140.54,6.68,15.79,170.56,47.15,47.15,88.82,0.7,0.65,True,True,2.0,yt03_002596.jpg,yt03,Neutral Standing
95.81,144.83,151.97,141.79,2.85,15.7,137.84,48.03,48.03,84.12,0.7,0.53,True,True,2.0,yt03_002655.jpg,yt03,Neutral Standing
87.45,164.36,101.98,107.43,20.47,11.84,166.43,32.75,32.75,24.86,0.7,19.07,True,True,2.0,yt03_002950.jpg,yt03,Neutral Standing
14.13,26.09,114.81,112.7,26.49,13.65,177.23,57.7,57.7,16.07,0.7,21.11,True,True,2.0,yt03_003009.jpg,yt03,Neutral Standing
104.43,171.91,57.75,169.36,10.19,9.62,179.53,26.7,26.7,49.43,0.7,15.4,True,True,2.0,yt03_003068.jpg,yt03,Neutral Standing
70.98,111.12,105.33,102.65,0.68,16.3,54.58,33.57,33.57,69.37,0.7,20.91,True,True,2.0,yt03_003245.jpg,yt03,Neutral Standing
81.14,46.65,63.5,4.02,147.78,22.38,165.02,82.18,82.18,33.14,0.7,32.59,True,True,2.0,yt03_003363.jpg,yt03,Neutral Standing
139.78,85.57,74.99,53.87,85.65,28.72,115.65,59.11,59.11,201.89,0.7,26.6,True,True,2.0,yt03_003540.jpg,yt03,Neutral Standing
52.81,54.24,30.61,37.97,11.24,9.11,164.6,4.08,4.08,7.12,0.7,1.6,True,True,2.0,yt03_003599.jpg,yt03,Neutral Standing
17.28,54.06,91.89,90.14,7.61,13.69,134.13,63.01,63.01,15.2,0.7,18.43,True,True,2.0,yt03_003717.jpg,yt03,Neutral Standing
99.0,95.1,34.54,37.97,7.54,5.22,157.46,21.25,21.25,24.25,0.7,3.49,True,True,2.0,yt03_003835.jpg,yt03,Neutral Standing
87.32,169.67,106.5,152.89,91.75,9.48,142.1,61.44,61.44,53.88,0.7,6.94,True,True,2.0,yt03_004071.jpg,yt03,Neutral Standing
111.2,162.14,98.34,112.14,57.17,9.17,176.42,36.5,36.5,21.4,0.7,9.14,True,True,2.0,yt03_004130.jpg,yt03,Neutral Standing
87.97,174.79,110.76,124.38,99.89,8.6,158.88,37.41,37.41,28.28,0.7,8.18,True,True,2.0,yt03_004189.jpg,yt03,Neutral Standing
162.23,172.81,155.11,160.14,23.85,14.7,167.44,30.95,30.95,66.01,0.7,0.89,True,True,2.0,yt03_004248.jpg,yt03,Neutral Standing
145.26,167.7,110.65,176.91,34.91,13.86,137.78,49.92,49.92,105.08,0.7,1.02,True,True,2.0,yt03_004307.jpg,yt03,Neutral Standing
152.71,155.92,156.58,140.95,28.87,7.85,169.65,15.89,15.89,16.94,0.7,3.8,True,True,2.0,yt03_004366.jpg,yt03,Neutral Standing
179.38,121.68,95.17,110.48,6.52,16.5,110.91,79.18,79.18,61.92,0.7,2.49,True,True,2.0,yt03_004425.jpg,yt03,Neutral Standing
98.7,159.58,115.75,128.27,28.23,12.91,174.25,8.76,8.76,18.83,0.7,2.92,True,True,2.0,yt03_004543.jpg,yt03,Neutral Standing
95.44,165.31,128.85,143.12,24.56,13.21,161.81,10.48,10.48,30.9,0.7,3.03,True,True,2.0,yt03_004602.jpg,yt03,Neutral Standing
94.78,162.17,121.78,140.34,26.65,13.58,144.01,7.18,7.18,33.2,0.7,3.53,True,True,2.0,yt03_004661.jpg,yt03,Neutral Standing
69.75,158.83,167.52,163.02,83.08,20.17,143.23,108.13,108.13,74.9,0.7,0.19,True,True,2.0,yt03_005074.jpg,yt03,Neutral Standing
81.5,165.02,167.27,178.35,27.33,24.77,71.54,98.27,98.27,92.87,0.7,1.46,True,True,2.0,yt03_005133.jpg,yt03,Neutral Standing
142.86,127.41,147.44,107.02,2.21,13.73,28.17,13.32,13.32,24.31,0.7,6.26,True,True,2.0,yt03_005310.jpg,yt03,Neutral Standing
152.27,177.69,166.77,162.64,14.28,12.7,120.03,46.46,46.46,12.89,0.7,16.26,True,True,2.0,yt03_005369.jpg,yt03,Neutral Standing
136.26,106.59,133.21,95.54,0.42,16.09,94.14,21.62,21.62,37.26,0.7,0.18,True,True,2.0,yt03_005428.jpg,yt03,Neutral Standing
