path,video,frame_name,auto_task,auto_risk,confidence,human_task,human_risk,quality,notes
outputs\real_data\frames\frame_000750.jpg,VIDJOB-92d24689.mp4,frame_000750.jpg,Seated Work,LOW,86.07397850822,Seated Work,LOW,partial,
outputs\real_data\frames\frame_000780.jpg,VIDJOB-92d24689.mp4,frame_000780.jpg,Seated Work,LOW,85.93998744207269,Seated Work,LOW,partial,
outputs\real_data\frames\frame_000810.jpg,VIDJOB-92d24689.mp4,frame_000810.jpg,Seated Work,LOW,85.79523011165506,Seated Work,LOW,partial,
outputs\real_data\frames\frame_000840.jpg,VIDJOB-92d24689.mp4,frame_000840.jpg,Seated Work,LOW,85.95613372676513,Seated Work,LOW,partial,
outputs\real_data\frames\frame_000870.jpg,VIDJOB-92d24689.mp4,frame_000870.jpg,Seated Work,LOW,85.84898271981407,Seated Work,LOW,partial,
outputs\real_data\frames\frame_000900.jpg,VIDJOB-92d24689.mp4,frame_000900.jpg,Seated Work,LOW,85.84275289493448,Seated Work,LOW,partial,
outputs\real_data\frames\frame_000930.jpg,VIDJOB-92d24689.mp4,frame_000930.jpg,Seated Work,LOW,85.47059411511701,Seated Work,LOW,,
outputs\real_data\frames\frame_000960.jpg,VIDJOB-92d24689.mp4,frame_000960.jpg,Seated Work,LOW,84.85296955879997,Seated Work,LOW,partial,
outputs\real_data\frames\frame_000990.jpg,VIDJOB-92d24689.mp4,frame_000990.jpg,Seated Work,LOW,84.59717254428303,Seated Work,LOW,partial,
outputs\real_data\frames\frame_001020.jpg,VIDJOB-92d24689.mp4,frame_001020.jpg,Neutral Standing,LOW,84.2818566104945,Seated Work,LOW,partial,
outputs\real_data\frames\frame_001050.jpg,VIDJOB-92d24689.mp4,frame_001050.jpg,Neutral Standing,MEDIUM,84.90533521946739,Seated Work,LOW,partial,
outputs\real_data\frames\frame_001080.jpg,VIDJOB-92d24689.mp4,frame_001080.jpg,Neutral Standing,LOW,84.5280671820921,Seated Work,LOW,partial,
outputs\real_data\frames\frame_001110.jpg,VIDJOB-92d24689.mp4,frame_001110.jpg,Neutral Standing,LOW,84.3311864663573,Seated Work,LOW,partial,
outputs\real_data\frames\frame_001140.jpg,VIDJOB-92d24689.mp4,frame_001140.jpg,Neutral Standing,LOW,85.06732591811348,Seated Work,LOW,partial,
outputs\real_data\frames\frame_001170.jpg,VIDJOB-92d24689.mp4,frame_001170.jpg,Neutral Standing,LOW,84.74931629265056,Seated Work,LOW,partial,
outputs\real_data\frames\frame_001200.jpg,VIDJOB-92d24689.mp4,frame_001200.jpg,Neutral Standing,LOW,85.89134128654705,Seated Work,LOW,partial,
outputs\real_data\frames\frame_001230.jpg,VIDJOB-92d24689.mp4,frame_001230.jpg,Neutral Standing,LOW,86.89846782123341,Seated Work,LOW,partial,
outputs\real_data\frames\frame_001260.jpg,VIDJOB-92d24689.mp4,frame_001260.jpg,Neutral Standing,LOW,86.1693824038786,Seated Work,LOW,partial,
outputs\real_data\frames\frame_001290.jpg,VIDJOB-92d24689.mp4,frame_001290.jpg,Neutral Standing,LOW,85.78459234798656,Assembly Work,LOW,partial,l
outputs\real_data\frames\frame_001320.jpg,VIDJOB-92d24689.mp4,frame_001320.jpg,Neutral Standing,LOW,86.49687223574695,Seated Work,LOW,partial,lag
outputs\real_data\frames\frame_001350.jpg,VIDJOB-92d24689.mp4,frame_001350.jpg,Neutral Standing,MEDIUM,86.58810503342572,Seated Work,LOW,partial,
outputs\real_data\frames\frame_001380.jpg,VIDJOB-92d24689.mp4,frame_001380.jpg,Neutral Standing,LOW,85.87856187539941,Seated Work,LOW,clear,
